 ,GSDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Status,Data Superseded,Superseded by UID No,Test Engine Status,Data corr as Annex 16,Current Engine Status,Current Engine Status Date,HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx Compliance Demonstration §,NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel Spec,Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Loads Power Extraction (kW),Loads Power Extraction @Power,Loads Stage Bleed CF (%),Loads Stage Bleed @Power,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Compliance with fuel venting requirements,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
01P08CM105,8,CFM International,CFM56-5B4/3,Tech Insertion,TF,5.7,27.3,120.1,C,,,NME,Yes,,,0.02,0.02,0.05,1.92,7,3,2.6,0.4,2.21,2.93,3.1,15.6,314,0.25,0.16,3.24,32.07,7,3,44.8,2.4,42,46.6,48.5,41.1,5386,21.57,17.23,8.85,4.22,7,3,37.6,1.1,36.6,38.8,39.8,42.1,52.6,63.5,72.2,85.9,2.3.2 e),4511,13.4,9.9,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.3,Jet A,1.92,1.93,16.2,17.5,1.142,0.939,0.316,0.102,407,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01",Also covers CFM56-5B4/3B1,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P08CM106,8,CFM International,CFM56-5B5/3,Tech Insertion,TF,6.0,23.1,97.9,C,,,NME,Yes,,,0.03,0.03,0.08,3.55,7,3,5.3,0.6,4.68,5.7,6.2,31.6,520,0.15,0.2,4.94,41.77,7,3,64.8,2.9,61.5,66.5,70.1,59.4,6343,16.42,14.01,8.03,3.81,7,3,31.1,1.1,30.1,32.2,33,38.3,47.9,59,67,81.7,2.3.2 e),3047,9.7,8,2.1,2.1,7,3,9.7,2.1,8,12.1,10.7,44.9,Jet A,1.92,1.93,16.2,17.5,0.894,0.743,0.264,0.092,343,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P08CM107,8,CFM International,CFM56-5B6/3,Tech Insertion,TF,5.9,24.3,104.5,C,,,NME,Yes,,,0.02,0.03,0.07,2.93,7,3,4.2,0.5,3.7,4.61,5.0,25.3,440,0.17,0.17,4.35,38.39,7,3,57.5,2.7,54.3,59.3,62.1,52.6,5912,17.73,14.88,8.29,3.94,7,3,32.8,1.1,31.8,34,34.8,39.3,49.1,60.1,68.3,82.7,2.3.2 e),3363,11.3,8.4,2.1,2.1,7,3,11.3,2.6,8.3,12.9,12.4,53,Jet A,1.92,1.93,16.2,17.5,0.965,0.800,0.279,0.095,361,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P08CM108,8,CFM International,CFM56-5B7/3,Tech Insertion,TF,5.7,27.3,120.1,C,,,NME,Yes,,,0.02,0.02,0.05,1.92,7,3,2.6,0.4,2.21,2.93,3.1,15.6,314,0.25,0.16,3.24,32.07,7,3,44.8,2.4,42,46.6,48.5,41.1,5386,21.57,17.23,8.85,4.22,7,3,37.6,1.1,36.8,38.8,39.8,42.1,52.6,63.5,72.2,85.9,2.3.2 e),4511,13.4,9.9,2.1,2.1,7,3,13.4,4.5,8.4,16.9,14.7,65.3,Jet A,1.92,1.93,16.2,17.5,1.142,0.939,0.316,0.102,407,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P08CM109,8,CFM International,CFM56-5B8/3,Tech Insertion,TF,6.0,22.7,96.1,C,,,NME,Yes,,,0.03,0.03,0.08,3.76,7,3,5.7,0.6,5.01,6.06,6.6,33.7,544,0.15,0.21,5.12,42.82,7,3,67.1,2.9,63.7,68.8,72.6,61.5,6448,16.1,13.79,7.96,3.77,7,3,30.7,1,29.7,31.8,32.5,38.1,47.6,58.7,66.8,81.6,2.3.2 e),2950,9.7,7,2.1,2.1,7,3,9.7,2.1,8,12.1,10.7,44.7,Jet A,1.92,1.93,16.2,17.5,0.875,0.727,0.260,0.091,338,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P08CM110,8,CFM International,CFM56-5B9/3,Tech Insertion,TF,5.9,24.2,103.6,C,,,NME,Yes,,,0.02,0.03,0.07,3.01,7,3,4.4,0.5,3.81,4.74,5.1,26,452,0.16,0.17,4.42,38.8,7,3,58.3,2.8,55.2,60.2,63.1,53.5,6047,17.54,14.76,8.26,3.92,7,3,32.6,1.1,31.6,33.8,34.5,39,48.8,59.8,67.9,82.2,2.3.2 e),3377,11.2,8.4,2.1,2.1,7,3,11.2,2.5,8.3,12.9,12.3,52.5,Jet A,1.92,1.93,16.2,17.5,0.956,0.793,0.278,0.095,359,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
01P11CM111,11,CFM International,CFM56-7B20E,Tech Insertion,TF,5.5,22.4,91.6,C,,,NME/DTEPS,Yes,,,0.03,0.03,0.08,3.84,7,3,6.3,0.6,5.55,6.69,7.3,37.3,572,0.15,0.23,5.03,43.31,7,3,73.4,3.2,69.8,75.3,79.4,67.3,6729,15.61,13.5,8,3.8,7,3,32.6,1.1,31.5,33.7,34.5,40.7,50.9,62.9,71.5,87.5,2.3.2 e),2987,8.7,6.8,2.1,2.1,7,3,8.7,2.2,7.1,11.1,9.5,39.3,Jet A,1.92,1.93,16.2,17.5,0.896,0.746,0.268,0.094,348,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM112,11,CFM International,CFM56-7B22E,Tech Insertion,TF,5.3,24.2,101.0,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.07,2.83,7,3,4.4,0.5,3.85,4.83,5.2,26.3,446,0.16,0.17,4.18,37.9,7,3,61.2,3.3,57.8,64.1,66.2,56.1,6179,17.4,14.67,8.35,3.95,7,3,35.1,1.2,34,36.3,37.1,42,52.5,64.3,73,88.4,2.3.2 e),3538,9.8,8,2.1,2.1,7,3,9.8,2.3,8,12.4,10.8,45.9,Jet A,1.92,1.93,16.2,17.5,1.004,0.832,0.291,0.099,376,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM113,11,CFM International,CFM56-7B22E/B1,Tech Insertion,TF,5.3,24.2,101.0,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.07,2.83,7,3,4.4,0.5,3.85,4.83,5.2,26.3,446,0.16,0.17,4.18,37.9,7,3,61.2,3.3,57.8,64.1,66.2,56.1,6179,17.4,14.67,8.35,3.95,7,3,35.1,1.2,34,36.3,37.1,42,52.5,64.3,73,88.4,2.3.2 e),3538,9.8,8,2.1,2.1,7,3,9.8,2.3,8,12.4,10.8,45.9,Jet A,1.92,1.93,16.2,17.5,1.004,0.832,0.291,0.099,376,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM114,11,CFM International,CFM56-7B24E,Tech Insertion,TF,5.3,25.6,107.6,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.06,2.3,7,3,3.5,0.5,3.01,3.88,4.1,20.9,377,0.18,0.15,3.68,34.71,7,3,54.4,2.8,51.2,56.4,58.8,49.8,5854,18.93,15.6,8.6,4.09,7,3,37.1,1.2,36.1,38.5,39.3,43.1,53.9,65.5,74.5,89.5,2.3.2 e),3996,12.1,8.7,2.1,2.1,7,3,12.1,3.4,8.3,14.7,13.3,57.2,Jet A,1.92,1.93,16.2,17.5,1.086,0.895,0.308,0.103,398,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM115,11,CFM International,CFM56-7B24E/B1,Tech Insertion,TF,5.3,25.6,107.6,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.06,2.3,7,3,3.5,0.5,3.01,3.88,4.1,20.9,377,0.18,0.15,3.68,34.71,7,3,54.4,2.8,51.2,56.4,58.8,49.8,5854,18.93,15.6,8.6,4.09,7,3,37.1,1.2,36.1,38.5,39.3,43.1,53.9,65.5,74.5,89.5,2.3.2 e),3996,12.1,8.7,2.1,2.1,7,3,12.1,3.4,8.3,14.7,13.3,57.2,Jet A,1.92,1.93,16.2,17.5,1.086,0.895,0.308,0.103,398,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
01P11CM116,11,CFM International,CFM56-7B26E,Tech Insertion,TF,5.1,27.7,117.0,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,1.75,7,3,2.6,0.4,2.18,2.91,3.0,15.4,302,0.2,0.16,3.07,30.94,7,3,46.8,2.6,43.8,48.7,50.6,42.9,5476,21.79,17.08,8.93,4.27,7,3,40.7,1.2,39.8,42.1,43.1,45.2,56.5,68.1,77.3,91.9,2.3.2 e),4762,13.1,9.8,2.1,2.1,7,3,13.1,4.1,8.4,16.2,14.4,63.4,Jet A,1.92,1.93,16.2,17.5,1.213,0.986,0.331,0.108,429,0,All,0,All,97.6,98.5,277,293,0.0015,0.00628,General Electric Company,"PTO, Ohio",29/09/2005,23/03/2006,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,
