Type of Vehicle,Category,Tier/Standard,Fuel,Date (first registration),Nox (g/km),Nox (g/kwh) ,PM (g/km),Notes
"Light Commercial Vehicles < 1,305kg reference mass",N1 Class I,Euro 6c,Petrol,Sep-18,0.06,,0.0045,Direct Injection engines only
"Light Commercial Vehicles < 1,305kg reference mass",N1 Class I,Euro 5b,Petrol,Jan-13,0.06,,0.0045,Direct Injection engines only
"Light Commercial Vehicles < 1,305kg reference mass",N1 Class I,Euro 5a,Petrol,Jan-11,0.06,,0.005,Direct Injection engines only
"Light Commercial Vehicles < 1,305kg reference mass",N1 Class I,Euro 6b,Diesel,Sep-15,0.08,,0.0045,
"Light Commercial Vehicles < 1,305kg reference mass",N1 Class I,Euro 6b,Petrol,Sep-15,0.06,,0.0045,Direct Injection engines only
Heavy Duty Diesel Engines ,,Euro VI,Diesel,Jan-13,n/a,0.4,0.01,
Heavy Duty Diesel Engines ,,Euro V,Diesel,Oct-08,n/a,2,0.02,
Heavy Duty Diesel Engines ,,Euro IV,Diesel,Oct-05,n/a,3.5,0.02,
Heavy Duty Diesel Engines ,,Euro III,Diesel,Oct-00,n/a,5,0.1,
Heavy Duty Diesel Engines ,,Euro III,Diesel,Oct-99,n/a,2,0.02,EEV only (enhanced environmentally friendly vehicle)
Heavy Duty Diesel Engines ,,Euro II,Diesel,Oct-98,n/a,7,0.15,
Heavy Duty Diesel Engines ,,Euro II,Diesel,Oct-96,n/a,7,0.25,
Heavy Duty Diesel Engines ,,Euro I,Diesel,1992,n/a,8,0.612,<85 kW
Heavy Duty Diesel Engines ,,Euro I,Diesel,1992,n/a,8,0.36,>85 kW
